english,kabyle
"a boy","aqcic"
"a cat","amicic"
"a girl","taqcict"
"a glass of water","kas n waman"
"a grain of chickpea","afercic, taâeqqayt n lh'emmez'"
"a man","argaz"
"a melon","afeqqus, tabettixt, tafeqqust"
"a turnip","afran, lleft, taâeqqayt n lleft"
"a woman","tamettut"
"aafrican studies","amesnafriq, imesnafriqen"
"abacus","tafelwit"
"abandonment","annuf, tafuli, tuddjin"
"abbreviation","tazegzilt"
"abolition","isir"
"aborigine","asrew, iserwen"
"abortion","aghray, aseghli"
"abounding","swattas, tugwta"
"about","idled, salay, tasmekta"
"abscess","tahebbuyt, timmist, tukis"
"absence","agwdhal, iba, iba, ibaten"
"absent","anabay"
"absent-minded","amazlal"
"absinthe","ccih, izri"
"absolute","amagaz, amagdaz"
"absorbing","amsum"
"abstention","aggal, iggalen"
"abstract","amadwan, azegzal"
"abstraction","tadwant"
"absurd","azulal"
"academic","asdawan"
"acceleration","tacekkatt"
"accelerator","ameckad'"
"accent","aghdebbay, aghdebbu, ighdebba"
"acceptance","taszayet"
"access","addaf, uduf"
"accident","asehwa, asehwu, isehwa, tamedrit, timedriyin"
"accident (1)","amexix"
"accidental","asehwan"
"accompaniment","azday"
"accompaniment of music","azday"
"accompanist","amsegli"
"account","amidhan"
"acculturation","tasemnennayt"
"accumulation","acellif"
"accurateness","anefren"
"accusation","tardayt, tilumas"
"accuser","aredday"
"acidic","amaghus, asemmam, imughas"
"acidic chloridric","aklur'an, amaghus aklur'an, iklur'anen"
"acidity","tamaghus, tamaghust, tesmem, timughas"
"acorn","abelludh"
"acrocephalous","aflighef, iflighfen, tafligheft, tiflighfin"
"acronym","tanselfast"
"act","igi"
"act legal piece","arra"
"act theater","asekkir"
"action","igi, igiten, tafulin, tafult, tigawt"
"activation","asermed"
"active","urmid"
"activity","armud, irmad"
"actor","asegbar"
"actuality","tamirt"
"acustic","asfeldan, tasensflett"
"adaptation","ameckiked, amsasa"
"added a suffix to","anedfas"
"addition","anerni, asmerni, timerna, timernit"
"address","tansa, tansiwin"
"adept","anedhfar"
"adequate","ameddizi"
"adherence","altagh, amyili"
"adhesive","ameltagh, amentadh"
"adjectival","anerbab"
"adjective","arbib, asifed, isufad"
"adjustable","amughid"
"adjustment","asgadda"
"administration","tadbelt, tideblin"
"administrative","adeblan"
"administrator","anedbal, asefrak"
"admirable","anegraz"
"admiration","agaraz"
"admissible","amsidmer"
"admission","asidmer"
"adolescence","tanubi, temszi"
"adoption","azdal"
"adress","tuzna"
"adult","amagur, amengad'"
"adultery","ahegges, iheggas"
"advance","s tizar"
"advantage","abaghur, abghur, ibughar, lfayda, lfaydat"
"adverb","amernu, imerna"
"adversary","afna, afnaten, axs'im, ifnayen"
"advertisement","asusen"
"advertising","adellel, idellilen"
"advice","agraw, aseqqamu, iseqquma"
"adviser","amaghad"
"aesophagic","ajaxax"
"aesophague","ajaxux"
"affection","tawernant"
"affirmation","tilawt"
"affirmative","ilaw"
"affix","aws'il, awsil"
"affixed","azedday"
"afghan","afghani, afghaniyen"
"afghan language","tafghanit"
"afghanistan","afghanistan"
"africa","tafriqt"
"african","afriqi, ifriqiyen"
"afrikaans","tafrikant"
"afrikaner","afrikan, ifrikanen"
"afro-american","afriqi amarikani, ifriqiyen imarikaniyen"
"afro-cuban","afriqi akubi, ifriqiyen ikubiyen"
"after-effect","azemmul"
